id,title,content,category,subcategory,created_at,updated_at,author_id,image_url,date,is_slide
3373c9e9-2079-4224-9357-ae0c54eb3da0,신약 개발 트렌드 2024,"<p>2024년 신약 개발의 주요 트렌드와 전망을 분석합니다. 인공지능 활용, 유전자 치료제 개발 동향 등을 포함합니다.</p>
   <p>AI 기반 신약 개발 플랫폼의 발전과 함께, 맞춤형 치료제 개발이 가속화될 것으로 예상됩니다.</p>",report,,2025-02-12T05:19:56.768601+00:00,2025-02-12T05:19:56.768601+00:00,,https://images.unsplash.com/photo-1532187863486-abf9dbad1b69?auto=format&fit=crop&q=80,2024-11-15,False
610ef462-f54b-4bbe-9182-a00705d108f9,국내 의료기기 시장 분석,"<p>국내 의료기기 시장의 규모, 성장률, 주요 기업 및 제품 동향을 분석한 보고서입니다.</p>",medical,,2025-02-12T05:19:56.768601+00:00,2025-02-12T05:19:56.768601+00:00,,https://images.unsplash.com/photo-1530026405186-ed1f139313f8?auto=format&fit=crop&q=80,2024-11-16,False
d8e2da8b-8285-4d86-9a57-f57c7ee2500e,AI 기반 진단 기술의 발전,<p>인공지능(AI) 기반 진단 기술의 최신 발전 동향과 의료 현장 적용 사례를 소개합니다.</p>,medical,,2025-02-12T05:19:56.768601+00:00,2025-02-12T05:19:56.768601+00:00,,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?auto=format&fit=crop&q=80,2024-11-19,False
02cec97c-cc30-48ae-942e-c2ed16c44197,원격 의료 서비스 확대 논의,<p>국내 원격 의료 서비스 확대에 대한 정책 논의 현황과 관련 산업에 미치는 영향을 분석합니다.</p>,medical,,2025-02-12T05:19:56.768601+00:00,2025-02-12T05:19:56.768601+00:00,,https://images.unsplash.com/photo-1576671081837-49000212a370?auto=format&fit=crop&q=80,2024-11-20,False
18a3375b-3847-4b70-ad62-e19c95e344a3,혁신 신약 파이프라인 현황,<p>국내 제약사의 혁신 신약 파이프라인 현황 및 개발 전략 분석.</p>,pharmaceutical,,2025-02-12T05:19:56.768601+00:00,2025-02-12T05:19:56.768601+00:00,,https://images.unsplash.com/photo-1585435557343-3b092031a831?auto=format&fit=crop&q=80,2024-11-21,False
1ec1ebcf-d90b-49c2-8906-f06ae7f49cc5,바이오시밀러 시장 경쟁 심화,<p>바이오시밀러 시장의 경쟁 심화 및 가격 인하 추세 분석.</p> ,pharmaceutical,,2025-02-12T05:19:56.768601+00:00,2025-02-12T05:19:56.768601+00:00,,https://images.unsplash.com/photo-1631217868264-e5b90bb7e133?auto=format&fit=crop&q=80,2024-11-22,False
1e125339-fed9-49c9-b318-bd4f42d7d1a1,5 Emerging Technologies Transforming Patient Care,"
<h2>Innovation Overview</h2>
<p>Healthcare technology continues to evolve at a remarkable pace, introducing new capabilities that enhance treatment effectiveness, improve patient experiences, and create more efficient clinical workflows.</p>

<h2>1. Ambient Clinical Intelligence</h2>
<p>AI-powered systems that passively listen to patient-provider conversations, automatically generating clinical documentation and suggesting potential diagnoses or order sets are revolutionizing the physician experience. Early adopters report 2+ hours saved daily on documentation tasks and 35% improvement in physician satisfaction scores.</p>

<h2>2. Remote Patient Monitoring</h2>
<p>The latest generation of connected health devices enables continuous monitoring of vital signs, medication adherence, and disease-specific parameters, creating rich longitudinal datasets that improve clinical decision-making. Integration with predictive analytics can identify deterioration 12-24 hours before traditional detection methods.</p>

<h2>3. Augmented Reality Surgical Guidance</h2>
<p>Surgical AR platforms overlay critical information directly in the surgeon's field of view, including vascular structures, tumor margins, and instrument trajectories. Preliminary studies show 42% reduction in surgical complications and 28% decrease in procedure time for complex interventions.</p>

<h2>4. Digital Therapeutics</h2>
<p>FDA-approved prescription digital therapeutics now exist for conditions ranging from insomnia and substance use disorders to chronic pain and ADHD, often demonstrating efficacy comparable to medication without associated side effects. Patient engagement rates exceed 72% at 6 months for leading platforms.</p>

<h2>5. Voice-First Healthcare Interfaces</h2>
<p>Voice-enabled systems are creating more natural interactions between patients and healthcare technology, particularly beneficial for elderly populations and those with physical limitations. Voice biomarker analysis can also detect subtle changes potentially indicating neurological or psychiatric conditions.</p>
            ",blog,,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,,,2024-01-01,False
537e3769-ab7a-485f-b7d8-3c24052a21f9,최근 경제 동향 관련 소식,"최근 경제 동향에 따르면, 민간 소비가 소폭 증가하고 있지만, 기업 투자는 여전히 부진한 상황입니다. 정부는 경기 활성화를 위해 추가적인 정책 지원을 검토하고 있습니다.",경제 동향,,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,,,2024-01-01,False
da2e4bd2-45aa-4223-91e6-4725655eb938,최근 기업투자 동향 관련 소식,최근 기업 투자는 불확실한 경제 상황으로 인해 다소 주춤한 모습을 보이고 있습니다. 정부는 세제 혜택과 규제 완화를 통해 기업 투자를 활성화할 계획입니다.,경제 동향,기업투자,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,,,2024-01-01,False
325127eb-8971-4d8d-b509-5d6b410d6092,최근 민간소비 동향 관련 소식,"최근 민간소비는 소폭 증가세를 보이고 있으나, 고물가와 금리 인상으로 인해 소비 심리가 위축될 가능성이 있습니다.",경제 동향,민간소비,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,,,2024-01-01,False
